"V1","V2","V3"
6.06927676892715e-128,1.71255979472309e-118,7.72486162907603e-197
5.34214873117929e-119,1.59099025469998e-111,5.64610031290138e-179
4.64247885701251e-112,3.45086706725754e-115,3.52582718781546e-180
6.57349024376923e-104,1.21639524486128e-110,2.65886573845478e-175
8.61626768864406e-102,7.6576843165376e-112,3.98019361114308e-207
1.34476040484866e-93,4.14697632221588e-98,2.0414413024911e-200
4.00736660231726e-85,3.52395169378897e-86,2.36773438986958e-207
5.22169940764685e-65,1.36207660437675e-63,1.41973828728745e-200
8.45965911247784e-53,6.73384464061775e-52,2.85256625810371e-209
2.68093559939219e-40,4.99068249037995e-40,6.95953344224944e-214
6.09503216822337e-28,3.39493473963521e-28,5.63129367554552e-212
4.98170327702559e-18,5.79756925400096e-20,2.04765605163052e-207
1.47568589817232e-12,1.1111066348681e-12,7.74223614209149e-207
0.00259959673468523,0.00209996983282513,1.12006915164272e-225
